¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Scene-stealing,"Usualmente se refiere a un personaje (o grupo de personajes), generalmente secundario, cuya apariencia, acciones y/o diálogo atraen más atención que otros actores en la misma escena, similar al término 'chewing up the scenery'."
Scenery,Se refiere al fondo al aire libre en un set (representado por un telón de fondo o una vista natural).
Schlock Film,"De la expresión yiddish para 'inferior', se refiere a una película b (o z) olvidable, de bajo presupuesto, hecha barata, publicitada de manera sensacionalista, con poca o ninguna calidad, a menudo involuntariamente hilarante, diseñada para obtener beneficios en taquilla en la semana de estreno, por lo general, películas encontradas en los géneros de terror, comedia y ciencia ficción de los años 50 y 60."
Scratch,"Daño a una película en forma de una larga marca, ya sea en la emulsión o en la base. Un rasguño en la emulsión es prácticamente irrecuperable, ya que parte de la imagen misma está ausente. Un rasguño en la base puede ser aliviado con la impresión de wet gate. Los rasguños en tu copia de trabajo realmente no importan en absoluto, ya que volverás al original de la cámara para tu impresión final."
Scratch Mix,"Una mezcla con poca corrección del sonido, que generalmente se hace antes de la mezcla final para proyectar la película con todos los sonidos en su lugar, para determinar si hay algún cambio por hacer. Por lo general, esto no se hace en producciones de bajo presupuesto, ya que el costo adicional sería contraproducente."
Scratch Test,"Una prueba de rasguño se realiza antes de la filmación, ejecutando un pie o dos del comienzo de un rollo de película, o un rollo de película falso, y verificando los rasguños, para asegurarse de que ni la cámara ni los magazines estén rayando la película."
Scratch Track,"Una grabación de sincronización realizada en condiciones que hacen que el sonido sea inútil, excepto como referencia para el editor de sonido o para los actores para doblaje."
Screen Direction,"Se refiere a la dirección en la que se mueven los personajes u objetos en una escena visual de una película, las direcciones de pantalla comunes incluyen ""izquierda de la cámara"" (movimiento hacia la izquierda) o ""derecha de la cámara"" (movimiento hacia la derecha), una toma neutral es una toma frontal de un sujeto sin dirección de pantalla evidente, un corte abrupto a menudo indica un cambio en la dirección de la pantalla."
Screen Test,"Se refiere a una audición filmada en la que un actor interpreta un papel específico para una producción cinematográfica, el casting a menudo depende de la calidad fotogénica (la proyección de una imagen atractiva en cámara) del actor."
Screener,"El término para una versión promocional en dvd (o video) de una película que es enviada a votantes (y críticos de cine) por los estudios cinematográficos para su conveniencia durante la temporada de premios, antes de que la película esté oficialmente disponible para el público a través de cadenas de alquiler de videos."
Screening,"La exhibición o presentación de una película, generalmente en un cine, proyectar (o desenrollar) una película significa mostrarla o proyectarla, los tipos de proyecciones incluyen una proyección crítica (una vista previa del lanzamiento para críticos de cine), una preproyección o una proyección de grupo focal (para probar las reacciones del público al corte áspero de una película), el cine es otro término para un cine."
Screenplay,"Un guion o texto para una producción cinematográfica escrito por un guionista o guionistas (o escriba), escrito (garabateado, escrito, o escrito) en la forma prescrita como una serie de escenas maestras, con todo el diálogo proporcionado y las acciones esenciales y movimientos de personajes descritos, un guion se escribe para convertirse en una película, los guiones son a menudo adaptaciones de otras obras, conocido arcaicamente como un fotodrama durante la era del cine mudo."
Screenwriter,El guionista que escribe un guion original de cine o adapta otra obra en una película.
Screwball Comedy,"Un tipo de comedia altamente verbal prevalente en hollywood de la década de 1930, y caracterizada por una acción frenética, ingenio verbal y agudezas (sustituyendo o sirviendo como una metáfora eufemística para el sexo), una batalla de los sexos con un conflicto que finalmente se resuelve - todos elementos que sirven como puntos importantes en la trama."
Script (o Shooting Script),"Se refiere al texto escrito de una película - un plano para producir una película que detalla la historia, el entorno, el diálogo, los movimientos y gestos de los actores, y la forma y secuencia de todos los eventos en la película, en diversas formas, como un guion, guion de rodaje, guion de desglose (una lista muy detallada, día a día, de todos los requisitos para el rodaje, utilizada principalmente por el equipo), guion forrado, guion de continuidad, o un guion especulativo (escrito según las especificaciones del estudio), un escritor de guiones es conocido como guionista, guionista, garabateador, escriba o pennor, un reescritor de guiones de última hora es conocido como un médico de guiones, un guion es un guion que incluye dirección de cámara y set, así como diálogo y dirección de reparto, un guion de rodaje es una versión final detallada del guion con las escenas separadas en la secuencia adecuada, y usado por el reparto durante la filmación real."
Second Banana,"En términos generales, un actor que interpreta un papel secundario o subordinado, también conocido como segundo violín, en comedias, se refiere a un intérprete que actúa como compinche, contraste o bobo (hombre serio) para un comediante principal."
Second Sticks!,"Si el claqueta en la pizarra no fue visible cuando se marcó la toma, el camarógrafo podría llamar ""¡segundos sticks!"" Para indicarle a la persona con la pizarra que la marque por segunda vez."
Second-unit Photography,"En producciones cinematográficas más grandes, esto se refiere a las escenas menos importantes (grandes multitudes, paisajes, fondos de ubicaciones extranjeras, varios insertos, etc.) Que son filmadas por un equipo más pequeño, secundario o subordinado, generalmente dirigido por un segundo director de unidad, contraste con la fotografía principal."
Secuela,"Una obra cinematográfica que presenta la continuación de personajes, escenarios y/o eventos de una historia en una película previamente realizada o precedente, en contraste con una precuela, seguimiento, serie, spin-off o remake."
Segment (o Seg),"Una sección o episodio de una película, una serie de secuencias que comprenden una sección importante de la trama, la segmentación de una película a menudo ayuda a un análisis adicional."
Seguridad,"Una toma adicional, hecha después de una exitosa, como respaldo."
Selects,"A veces es útil separar todas las tomas que vas a usar antes de comenzar a editar. Estas se conocen como ""selects""."
Sell-through,"Un término de la industria que significa cintas de video precargadas o dvd a un precio más bajo, para fomentar su venta en lugar de su alquiler."
Sepia Tone,"Una imagen en blanco y negro que ha sido convertida a un tono sepia o color (gris marrón a marrón oliva oscuro) para mejorar el efecto dramático y/o crear una apariencia ""antigua""."
Sequence,"Una escena, o serie conectada de escenas relacionadas que se editan juntas y comprenden un evento, escenario o historia único y unificado dentro de la narrativa de una película, también se refiere a escenas que se ajustan estructuralmente en la trama, la secuencia generalmente se refiere a un segmento de película más largo que una escena, las secuencias a menudo se agrupan en actos (como una obra de tres actos), un plano secuencia se refiere a una toma larga, normalmente complicada con movimientos y acciones de cámara complejos, ver también toma y escena."
Serial,"Una película de varias partes, 'corto-subject' que generalmente se proyectaba un capítulo/episodio por semana en un cine, el estilo predominante del serial era el melodrama, a menudo, cada capítulo o episodio, presentado continuamente en entregas durante varias semanas, concluiría con un cliffhanger no resuelto para asegurar que el público regresara la semana siguiente para descubrir la resolución, popular hasta principios de la década de 1950, contraste con series y secuelas."
Series,"Una serie o secuencia de películas con situaciones compartidas, personajes o temas y títulos relacionados, pero con poca otra interdependencia, especialmente en cuanto a trama o desarrollo significativo de personajes. Por lo general, se presentan sin cliffhangers, el término también se aplica a largometrajes con más de una secuela, contraste con seriales y secuelas."
Set,"El entorno (un lugar exterior o interior) donde tiene lugar la acción en una película, cuando se usa en contraposición a la ubicación, se refiere a un tiempo/lugar artificialmente construido (un telón de fondo o una calle de un pueblo del oeste polvorienta con una fachada de tiendas), supervisado por el director de arte de la película, ""strike"" se refiere al acto de desmontar un set una vez que ha terminado el rodaje."
Set-piece,"Usualmente una escena o secuencia elaborada autocontenida que se sostiene por sí misma (es decir, una persecución en helicóptero, un número de baile, una pelea memorable, etc.), Y sirve como un momento clave en la película, en términos de producción, también puede referirse a una escena con un gran set."
Set-up,"El lugar o posición donde el director y el director de fotografía colocan la cámara (y la iluminación) al filmar una escena, una escena generalmente se filma con múltiples configuraciones y con múltiples tomas de cada configuración, también conocido como ángulo."
Set-up (guion),"En términos de guion, la configuración se refiere al primer acto en el que se establecen los personajes, la situación y el escenario."
Setting,"El tiempo (período de tiempo) y el lugar en el que ocurre la historia de la película, incluyendo todos los demás factores adicionales, como el clima (estación), paisaje, personas, estructuras sociales y factores económicos, costumbres, actitudes morales y códigos de comportamiento, también conocido como escenario."
Sex Comedy,"Una película humorística y ligera con una trama improbable sobre relaciones sexuales y asuntos extramatrimoniales, con diversos emparejamientos entre numerosos personajes, a menudo caracterizada por puertas que se cierran de golpe, también conocida como farsa sexual o farsa de alcoba."
Sexploitation,"Se refiere a películas suaves, no pornográficas ni explícitas, que presentan temas sexuales o material sexual explícito y desnudez a menudo de manera aparentemente grosera, inmadura y lasciva, estas películas explotaban el concepto del sexo sin violar los tabúes culturales y legales arraigados contra mostrarlo todo en la pantalla, a menudo con títulos escabrosos, también conocidas como películas de desnudos."
Shaggy Dog Tale (o historia),"Una trama, cuento o historia larga, excesivamente complicada, a menudo irrelevante, prolija o complicada, que a menudo termina sin resolución alguna o con un anticlímax sin sentido o sin significado."
Sharpie,Un marcador permanente con punta de fieltro útil para etiquetar las latas de rollos expuestos durante la filmación y en la sala de edición para etiquetar el líder.
Shoot,"El proceso de filmar o fotografiar cualquier aspecto de una película con una cámara, el plan para una filmación se denomina programa de rodaje."
Shooting Ratio,La proporción de cuánta película se grabó en comparación con la duración de la película terminada.
Short Subject (cortometraje o cortos),"Una película que es más corta que aproximadamente 30 o 45 minutos, y definitivamente menos de 60 minutos, en la era del cine mudo, la mayoría de las películas eran cortometrajes, como las que se mostraban en los cines de cinco centavos, luego, durante la era temprana del cine, el precio de una entrada de cine incluía no solo el largometraje semanal, sino también ""cortometrajes seleccionados"", como solían anunciarse, en contraste con las películas largas."
Shortends,"El remanente no expuesto de un rollo de película en un cargador que se corta y se coloca nuevamente en una lata para usarlo más tarde. A diferencia de los recans, un shortend es algo inferior a 400 pies."
Shot,"La unidad básica de construcción o unidad de la narrativa cinematográfica, se refiere a una sola toma constante realizada por una cámara de cine sin interrupciones por edición, interrupciones o cortes, en la que se expone una longitud de película encendiendo la cámara, grabando y luego apagando la cámara, también puede referirse a un solo fotograma de película (como una imagen fija), un seguimiento es cuando la cámara se mueve para seguir la acción, una toma de retroceso se refiere a una toma en seguimiento o zoom que retrocede desde el sujeto para revelar el contexto de la escena, ver también escena y secuencia, el análisis de tomas se refiere al examen de tomas individuales, una toma de un solo plano, una toma de dos planos y una toma de tres planos se refiere a nombres comunes para filmar a una, dos o tres personas en una toma."
Shot List,La lista distribuida y utilizada por un equipo de filmación de todas las tomas a filmar durante el día.
"Shot, Scene, And Sequence","Una toma, escena y secuencia juntas conforman la narrativa dramática más grande de una película, las escenas están compuestas por tomas, las secuencias están compuestas por escenas y las películas están compuestas por secuencias."
Shutter Speed,Se refiere a la duración de tiempo durante la cual se expone un solo fotograma.
Sight Gag,"También conocido como broma visual, una imagen que transmite humor visualmente, generalmente sin palabras, a menudo utilizado en comedias de cine mudo o en películas con muy poco diálogo."
Silent Camera,"Este término a menudo es un poco confuso porque no significa una cámara que sea silenciosa en sí misma y, por lo tanto, utilizable para sonido sincronizado, sino que significa una cámara ruidosa, no silenciosa, utilizable solo para filmar escenas silenciosas, m.O.S."
Silent Film (o Silents),"El término para películas en movimiento sin sonido (diálogo hablado o banda sonora sincronizada), aunque a menudo estaban acompañadas de comentarios en vivo, música de piano, efectos de sonido y/o orquestación, el período desde aproximadamente 1895 hasta 1927 (cuando se introdujeron los ""talkies""), en contraste con los talkies."
Silent Speed,"18 fotogramas por segundo. Una noción ligeramente arcaica que queda de la época en que el 16 mm se usaba exclusivamente para películas caseras. No siempre es fácil encontrar un proyector que proyecte a 18 fotogramas por segundo, por lo que las películas filmadas a esta velocidad a menudo se aceleran ligeramente, ya sea que el cineasta lo haya pretendido o no."
Silver Bullet,"También conocida como ""bala mágica"" - una solución que resuelve completamente el complicado problema dramático dentro de una película, el término se derivó del folclore europeo en el que solo una bala de plata podía matar a un hombre lobo."
Sincronización De Proyección,Sincronización de proyección - igual que la sincronización del impresor.
Sincronización Del Impresor,"Sincronización del impresor - esto es el desfase del sonido 26 fotogramas antes que la imagen, correspondiente a la distancia entre el lector de sonido y la compuerta del proyector. Para estar sincronizado en un proyector todas las copias se alinean en la sincronización del impresor. Por lo general, el laboratorio alinea el sonido y la imagen en la sincronización del impresor, poniendo el pitido en la pista 26 fotogramas antes del ""2"" en el líder de la academia. Esto se conoce como tirar del sonido. Si hubiera alguna razón para alinear el sonido tú mismo, es muy importante etiquetar la marca de sincronización como ""sincronización del impresor"" para que el sonido no se tire accidentalmente dos veces."
Sincronización Editorial,"Un conjunto de marcas de sincronización en imagen y sonido que se alinean en el mismo fotograma, en contraposición a la sincronización de impresión, donde la imagen y el sonido están desplazados. A veces es útil etiquetar una marca de sincronización como e.S. Para saber que es una marca de sincronización editorial."
Single Perf,"Película de 16 mm con una fila de perforaciones a lo largo de un borde. En la lata de película, esto se indicará con 1r en la etiqueta."
Single Reel,"En 35 mm, un rollo es de 1,000 pies de película (o usualmente un poco menos)."
Single System,"Se refiere a grabar, editar o proyectar sonido e imagen juntos en la misma película. Las cámaras utilizadas para noticias de televisión grabarían el sonido en una banda magnética además de fotografiar la imagen. También en super-8 sound. El sistema único tiene algunas desventajas editoriales distintas, de ahí el uso más común de doble sistema para grabar y editar."
Sistema Doble,"El término sistema doble se refiere al sonido y la imagen como dos elementos separados, grabados, editados o proyectados sincrónicamente. El formato de sistema doble se utiliza en 16mm y 35mm. Una cámara fotografía la imagen y un grabador de cinta graba el sonido. Al final, la copia final es de sistema único, combinando sonido e imagen en la misma pieza de soporte de impresión."
Sistema(s) De Clasificación O Clasificaciones,"También conocido como el sistema de clasificación de películas de la mpaa (asociación cinematográfica de estados unidos), instituido oficialmente a finales de 1968, se refiere al sistema de clasificación en constante evolución para películas generalmente basado en la edad apropiada y el juicio sobre la adecuación de una película para diversos públicos, en términos de contenido sexual, ofensivo o violento, ver también censura."
Size,"Se refiere a un elemento cinematográfico, utilizado por el cineasta para indicar la fuerza relativa de un personaje o objeto en comparación con otras cosas o personas."
Skip Frame,El efecto de impresión óptica de omitir o eliminar ciertos fotogramas de la escena original para acelerar la acción.
Slapstick (comedia),"Una forma amplia de comedia en la que el humor proviene de actos físicos o pantomimas, frecuentemente violencia inofensiva y caídas destinadas a provocar risa. El nombre se derivó de un dispositivo llamado slapstick, dos tablas que se golpeaban juntas con un fuerte golpe al usarse para golpear algo o alguien, prevalente durante la era del cine mudo y en los primeros talkies, con su motivo principal siendo el lanzamiento de pasteles."
Slasher Film,"Generalmente una subcategoría de películas de bajo presupuesto (generalmente en el género de terror) diseñadas para el público adolescente (película para adolescentes), deliberadamente hechas para contener muertes explícitas sangrientas y sin estilo o suspenso, a menudo cometidas por un asesino en serie imparable, con un arma afilada, la mayoría de las películas de slasher están creadas para generar secuelas y aburrimiento repetitivo, también conocidas como películas de salpicaduras, ver también películas basura, películas de grindhouse, películas de esquilmación, películas b y películas z."
Slate (tablero),"Se refiere al tablero digital sostenido frente a la cámara que identifica el número de toma, el director, el camarógrafo, el estudio y el título, el tablero tiene las claqueta en la parte superior y generalmente se escribe en él el número de escena, la toma y el nombre o título de la producción, y la persona que opera la claqueta dirá ""marcar"" y golpeará las claqueta con fines de sincronización de imagen y sonido, originalmente los datos se escribían con tiza en una pizarra, las imágenes de la claqueta al principio de cada toma o toma se utilizan en el laboratorio y la sala de edición para identificar la toma, ver también claqueta."
Sleeper,"Una película que se estrena con poca publicidad o expectación previa al lanzamiento, a menudo dirigida y protagonizada por personas relativamente desconocidas, que eventualmente se vuelve popular (como una película de culto) o exitosa financieramente más allá de las expectativas, generalmente debido a un boca a boca positivo, el término a veces se usa incorrectamente para describir películas impopulares que los críticos aman."
Slop Print,"Una copia de trabajo en blanco y negro sin temporizar de tu copia de trabajo, utilizada para proyección en una mezcla de sonido. Se utiliza una copia de trabajo sin temporizar porque los empalmes pueden saltar y hacer que la película se desincronice, y una copia de trabajo sin temporizar no tendrá empalmes."
Slow-motion (o Slo-motion),"Se refiere a un efecto que resulta de hacer pasar la película a través de una cámara a una velocidad más rápida de lo normal (grabando más rápido que 24 fotogramas por segundo), y luego proyectándola a velocidad estándar, si una cámara funciona a 60 fotogramas por segundo y captura un evento de un segundo de duración, una reproducción de 24 fotogramas ralentizará ese evento a dos segundos y medio de duración, overcrank(ing) significa acelerar la cámara, haciendo que la acción parezca más lenta al proyectarse - el término se remonta a los viejos tiempos de pasar físicamente la película a través de una cámara a mano, esta técnica fílmica se emplea generalmente para capturar completamente un 'momento en el tiempo' o para producir un efecto dramático (o romántico), contrasta con el movimiento rápido (o movimiento acelerado, logrado mediante undercranking) o la compresión del tiempo."
Slug,Un nombre bastante poco atractivo para relleno.
Smash-cut (o Shock Cut),"Un término cinematográfico que se refiere a un cambio o transición abrupto, impactante e inesperado en la escena o imagen de la película (y el audio) a otra escena o imagen, con el fin de sorprender al público, ver también transición."
Snipe,"Cualquier pieza de metraje proyectado durante (generalmente antes de) la presentación de una película que no es un avance o presentación de película, es decir, anuncios y promociones de teatro para el puesto de concesión, solicitudes de cortesía y prohibiciones (como apagar los teléfonos celulares, frenar las conversaciones ruidosas, etc.)."
Snub,"Durante las nominaciones o los procedimientos de premios, cuando un intérprete/director/miembro prominente, líder o favorito del equipo o película es inexplicablemente excluido o se le niega un premio o nominación."
Sobrexposición,"Filmar una escena con más luz de la que la emulsión de la película puede tolerar fácilmente. La imagen será demasiado clara y habrá menos profundidad de campo que si el objetivo hubiera sido configurado correctamente. Si se compensa en la impresión, la imagen aparecerá contrastada."
Soft Light,"Un tipo de luz con una superficie incorporada para actuar como un panel de rebote, proporcionando luz suave e indirecta sobre el sujeto."
Soft-focus,"Un efecto cinematográfico en el que un filtro, vaselina o sustancia similar a gasa colocada sobre el objetivo de la cámara reduce la claridad o nitidez del enfoque, difumina la imagen y produce una luz difusa y brumosa, el efecto visual también se puede crear simplemente desenfocando, a menudo se utiliza para mejorar escenas románticas o de ensueño, o para eliminar las líneas de expresión de la cara de un actor."
Soliloquy,"Un monólogo dramático pronunciado por un solo actor sin nadie más en el escenario, a veces se expresa como un diálogo de 'pensamiento en voz alta' de reflexiones internas, pronunciado por un personaje para sí mismo, o directamente al público, en contraste con un aside."
Sonido De Producción,"Este es el sonido sincronizado, o cualquier otro tipo de toma salvaje o tono de ambiente que se grabó en la filmación. El término se usa en la edición de sonido para distinguir entre los fondos y efectos añadidos y los que se grabaron en la filmación."
Sonido En Localización,"Este es el sonido sincronizado, o cualquier otro tipo de pista adicional o tono de habitación que se grabó durante el rodaje. Lo mismo que sonido de producción."
Sonido Óptico,El sistema utilizado por un proyector para reproducir sonido desde una copia de película. El sonido se expone en la película como una línea moduladora clara sobre negro. Corresponde a las modulaciones del sonido. El proyector lee la pista pasándola entre la lámpara excitadora y una célula fotoeléctrica fotosensible que genera un voltaje que se amplifica y se alimenta a un altavoz.
Sonido Salvaje,"Sonido no sincronizado, grabado sin que la cámara esté funcionando, generalmente grabado para complementar las tomas sincronizadas."
Sound,"La parte de audio de una película que incluye diálogo, música y efectos, los efectos de sonido se refieren a todos los sonidos creados excepto diálogo o música."
Sound Blanket,"Básicamente solo una manta acolchada de mudanza. A menudo se coloca sobre la cámara (y el operador de la cámara) para reducir el ruido de la cámara, como una especie de barney improvisado."
Sound Fill,Ver relleno.
Sound Reader,"Una cabeza de reproducción para leer película magnética, montada en un soporte que se engancha en un sincronizador. Se conecta al ""squawk box""."
Sound Slug,Ver relleno.
Sound Speed,24 fotogramas por segundo. La velocidad normal para filmar y proyectar.
Soundstage (o Stage),"Un área/sala grande y a prueba de sonido en un estudio utilizada en la producción cinematográfica, donde se pueden construir sets elaborados, para permitir a los cineastas un mayor control sobre el clima, la iluminación y el sonido, la seguridad y los espectadores."
Soundtrack,"Técnicamente, este término se refiere al componente de audio de una película, incluyendo el diálogo, la banda sonora musical, la narración y los efectos de sonido, que acompañan a los componentes visuales. Popularmente, se refiere a una colección de canciones escuchadas durante la película, y a menudo se vende como un álbum."
Spacer,"Un cilindro de metal con una placa plana en un extremo y un agujero en el centro, usado entre rollos en el huso de un rebobinador para espaciar los rollos a la misma distancia que las agrupaciones de un sincronizador. Aunque es un poco más corto, en caso de apuro puedes usar núcleos como espaciadores."
Spaghetti Western,"Un western, película de bajo presupuesto filmada en italia (o españa) durante los años 60, generalmente caracterizada por bajos valores de producción, diálogos escasos."
Spec Script,"Un guion no solicitado o no encargado (""especulativo"") enviado a un estudio por un guionista para su consideración (con la esperanza de que posiblemente sea 'opcionado' o comprado), también conocido como guion especulativo"
"Special Effects (o F/x, Sfx, Spfx, o Efx)","Un término amplio y de amplio alcance utilizado por la industria cinematográfica que significa crear ilusiones visuales y auditivas fantásticas que no pueden lograrse por medios normales, como viajar al espacio. Se utilizan muchas técnicas o procesos fílmicos visuales (fotográficos) o mecánicos (físicos) para producir efectos ilusorios especiales, como efectos ópticos y digitales, cgi, efectos en cámara, el uso de miniaturas/modelos, mates, proyecciones traseras, animación de stop-motion, pantallas azules, maquetas a escala real, pirotecnia (cartuchos (explosiones en miniatura, es decir, un disparo)), dobles de riesgo, animatrónica (muñecos electrónicos), máquinas de lluvia/nieve/viento, etc., Los f/x son coordinados por los supervisores de efectos visuales y especiales, conocido negativamente como fotografía trucada, ver también efectos visuales - una subcategoría de efectos especiales. Consulta los hitos en efectos especiales/visuales en la historia del cine de este sitio."
Specifics,"En la edición de sonido, son efectos que se relacionan directamente con la imagen, donde vemos que sucede algo y lo escuchamos también."
Speed!,Lo que el camarógrafo o técnico de sonido llamará para reconocer que están rodando.
Spider,Otro término para expandible.
Spikes,Pequeños trozos de cinta colocados alrededor de las patas de los muebles o del trípode para facilitar devolver las cosas a su posición original.
Spin-off,"Obra derivada (película o serie de televisión), ya sea una secuela o una precuela que incluye personajes del producto original anterior."
Splice,Método para unir dos piezas de película para que puedan proyectarse como una sola pieza continua.
Splicing Tape,Tipo especial de cinta transparente utilizada para empalmar película.
Split Edit,Técnica de edición en la que el audio comienza antes o después del corte de imagen.
Split Reel,Carrete que se desenrosca y permite colocar una película en un núcleo entre las dos mitades.
Split Screen,Técnica en la que dos acciones filmadas separadamente aparecen una al lado de la otra en una misma imagen.
Split-reel,"En la era del cine mudo, se refiere a dos películas de corta duración unidas en un solo carrete para su exhibición en el cine."
Spoiler,Información sobre la trama o el final de una película que puede dañar o disminuir el disfrute si se conoce de antemano.
Spoof,Película cómica que rinde homenaje a una película anterior de manera humorística.
Spool Down,Enrollar un rollo de película de 400 pies en carretes de 100 pies para usarlo en una cámara que solo acepta 100 pies de película.
Spot Meter,Medidor para tomar una lectura de luz reflejada de un área específica.
Spreader,Pieza de equipo utilizada para evitar que las patas del trípode se desplieguen hacia afuera.
Spring Lock,Clip con resorte que va en el extremo de un rebobinador para permitir que varios carretes giren juntos.
Sprocket,Dientes en un rodillo diseñado para interactuar con las perforaciones en la película.
Sprocket Holes,Agujeros de engranajes en la película.
Spun,Material de difusión de vidrio hilado.
Squawk Box,Pequeño altavoz amplificado usado en un banco de edición para recibir sonido del sound reader.
Stand-in,Persona sustituta físicamente similar a un actor que toma su lugar durante la preparación de una escena.
Star,"Nombre dado a actores o celebridades famosos, talentosos y populares."
Star System,Forma en que los estudios promovían y protegían a sus estrellas bajo contrato.
Star Vehicle,Película hecha para mostrar los talentos de un intérprete.
Static Shot,Toma de cámara inmóvil debido al uso de un trípode.
Steadicam (shot),Técnica de cámara de mano que utiliza un estabilizador steadicam.
Stealing A Scene,Referido a un actor de reparto que atrae la atención del actor principal.
Steenbeck,Marca de mesa de edición.
Stereotyping,"Representar a un personaje o grupo con una representación estereotipada, a menudo ofensiva."
Sticks,1.: Trípode o patas del trípode. 2.: El clapper en la pizarra.
Still,Imagen estática de una película o sesión de fotos.
Stinger,Cable de extensión.
Stinger,Diálogo o metraje sorpresa después de los créditos finales.
Stock Character,Personaje menor cuyas acciones son predecibles o estereotipadas.
Stock De Impresión,Película utilizada por el laboratorio para hacer copias.
"Stock De Mag, Pista De Mag O Película Magnética",Película recubierta con una emulsión de óxido magnético.
Stock En Bruto,Película no expuesta.
Stock Footage,Material filmado previamente utilizado para completar porciones de una película.
Stop-motion (animation),Técnica de animación en la que los objetos se mueven ligeramente entre cada fotograma.
Story,"Los eventos que aparecen en una película y lo que podemos inferir de estos eventos, también conocido como narrativa o trama."
Storyboard,"Serie secuencial de ilustraciones, bocetos ásperos y/o leyendas de eventos, vistos a través del lente de la cámara, que describen los diferentes planos, ángulos de cámara, bloqueo de actores y tamaño del cuadro."
Straight Man,"Actor que sirve como contrapunto para un comediante, generalmente adoptando una postura seria o reacción frente al compañero cómico."
Streamer,Marca de lápiz graso en la copia de trabajo que indica un fundido o una disolución.
Stripe,Película magnética de 35 mm que contiene una banda de cinta magnética en lugar del recubrimiento completo.
Studio Chief,El jefe o presidente de un estudio de cine que tiene la autoridad final para cada proyecto de película y supervisa los diversos departamentos.
Studio System,Control ejercido por los estudios de cine sobre todos los aspectos de la producción cinematográfica.
Stunt Double(s),Intérprete(s) de dobles que reemplazan a un actor en escenas peligrosas o arriesgadas.
Stylize(d),Término que se refiere a la exageración o eliminación artificial de detalles para crear un efecto específico.
Subcrank,"Método para hacer que la cámara funcione más lentamente, produciendo movimiento rápido."
Subexposición,"Filmar una escena con menos luz de la necesaria para una exposición correcta, resultando en una imagen oscura."
Subjective point-of-view (pov),"Película en la que el narrador tiene un punto de vista limitado respecto a los personajes, eventos, acción, lugares, etc."
Subplot,"Trama secundaria o auxiliar, independiente de la trama principal y que a menudo involucra a personajes secundarios."
Subtext,Significados más profundos y usualmente no expresados de las líneas habladas o acciones de un personaje.
Subtitles,Líneas de texto impresas que se superponen en la parte inferior del cuadro de la pantalla.
Sundance,"Abreviatura del influyente festival de cine de sundance, conocido por exhibir lo mejor del cine independiente cada año en utah."
Super 16,Formato que utiliza película de 16 mm con una sola perforación para exponer una imagen más amplia.
Super Speed,Término para describir un lente primario rápido.
Superimpose (or Superimposition),Proceso de impresión óptica que coloca una imagen sobre otra en el mismo negativo.
Supporting Role(s),"Personajes menos frecuentes que los protagonistas, pero con roles importantes en la trama."
Surreal (surrealism),Término aplicado a una película que presenta un estado de sueño distorsionado o fantástico.
Suspenser,Otro término para una película de suspenso.
Swashbuckler,Películas de aventuras con un personaje heroico y espadachines.
Sword And Sorcery,Clase de películas de fantasía caracterizadas por la presencia de magos y guerreros.
Sword-and-sandal Epic,"Película épica, generalmente romana o bíblica, caracterizada por el uso de espadas y sandalias."
Symbol,Objeto en una película que representa una idea o tiene un segundo nivel de significado.
Symmetry,Cuando dos o más tramas 'reflejan' entre sí o desarrollan variaciones sobre el tema o la trama de la película.
Sync,Grado en que el sonido y la imagen están alineados.
Sync Mark,Punto donde los clapsticks se juntan al principio de una toma.
Sync Sound,Sonido grabado mientras se filma la imagen.
Synchronizer,Dispositivo utilizado para el montaje de rollos de película y verificación de sincronización.
Synchronous Sound,Sonido cuya fuente se puede ver en el cuadro de la imagen.
Syncing,Alineamiento de sonido e imagen antes de editar una película.
T-stop,"Similar a un f-stop, calibra la cantidad real de luz que llega a la película."
Tachometer,Medidor que mide la velocidad de la película en una cámara.
Tag Line,Frase o corta oración para caracterizar una película de manera memorable.
Tail,El final de una toma o de un rollo de película.
Tail Slate,Marcar una toma al final en lugar de al principio.
Take,Una versión de una toma con una configuración de cámara particular.
Take Up Reel,Carrete utilizado en un proyector para recoger la película después de su proyección.
Take Up Spool,Carrete usado en una cámara para recoger la película después de pasar por el movimiento.
Talent,"Término aplicado a los actores, como grupo, en un set de filmación."
Talkies,"Término comúnmente usado para películas con sonido, marcando el comienzo de la era de las películas sonoras."
Talking Head(s),Plano medio de personas conversando.
Tap,"Término informal que significa ""seleccionar"", ""nombrar"" o ""designar""."
Tape Splice,Método para unir dos piezas de película para que se proyecten como una sola pieza continua.
Tearjerker(s),Película excesivamente sentimental o emocional.
Tech-noir,Películas expresionistas noir modernas o post-modernas ambientadas en el futuro.
Technicolor,Proceso de cine en color bien conocido.
Telecine,Máquina utilizada para transferir película a video.
Telefilm,Película de larga duración hecha para televisión.
Teleobjetivo,Lente con una longitud focal larga y ángulo de visión estrecho.
Tentpole,Película que se espera que sea un gran éxito de taquilla y respalde a un estudio.
The Lion (leo),Término que se refiere a los estudios metro-goldwyn-mayer (mgm).
Theatre - Theater (film),Lugar para la proyección o visualización de una película.
Theatrical,Término que se refiere a una película de larga duración.
Theme (film),"Característica central, idea o motivo en una película."
